 frequency              r_VOUT                 i_VOUT                
 2.326305067153629e+00  1.125685539195634e+00 -1.305069954730996e-06 
 2.371373705661659e+00  1.125685539195449e+00 -1.377922641371010e-06 
 2.417315480804108e+00  1.125685539195254e+00 -1.451282677289004e-06 
 2.464147308281285e+00  1.125685539195048e+00 -1.525177073552315e-06 
 2.511886431509584e+00  1.125685539194832e+00 -1.599633037979053e-06 
 2.560550427970480e+00  1.125685539194605e+00 -1.674677985155978e-06 
 2.610157215682541e+00  1.125685539194367e+00 -1.750339546532501e-06 
 2.660725059798814e+00  1.125685539194115e+00 -1.826645580594571e-06 
 2.712272579332033e+00  1.125685539193853e+00 -1.903624183122115e-06 
 2.764818754010113e+00  1.125685539193580e+00 -1.981303697533882e-06 
 2.818382931264459e+00  1.125685539193292e+00 -2.059712725323410e-06 
 2.872984833353670e+00  1.125685539192992e+00 -2.138880136590126e-06 
 2.928644564625242e+00  1.125685539192679e+00 -2.218835080669220e-06 
 2.985382618917966e+00  1.125685539192351e+00 -2.299606996864421e-06 
 3.043219887107728e+00  1.125685539192009e+00 -2.381225625287492e-06 
 3.102177664799508e+00  1.125685539191651e+00 -2.463721017808515e-06 
 3.162277660168387e+00  1.125685539191278e+00 -2.547123549120947e-06 
 3.223542001952470e+00  1.125685539190889e+00 -2.631463927925526e-06 
 3.285993247600662e+00  1.125685539190482e+00 -2.716773208237192e-06 
 3.349654391578285e+00  1.125685539190061e+00 -2.803082800819139e-06 
 3.414548873833610e+00  1.125685539189620e+00 -2.890424484748175e-06 
 3.480700588428419e+00  1.125685539189159e+00 -2.978830419115778e-06 
 3.548133892335763e+00  1.125685539188681e+00 -3.068333154869039e-06 
 3.616873614408168e+00  1.125685539188182e+00 -3.158965646795814e-06 
 3.686945064519584e+00  1.125685539187663e+00 -3.250761265658715e-06 
 3.758374042884451e+00  1.125685539187121e+00 -3.343753810482102e-06 
 3.831186849557297e+00  1.125685539186559e+00 -3.437977520996916e-06 
 3.905410294116390e+00  1.125685539185972e+00 -3.533467090247624e-06 
 3.981071705534982e+00  1.125685539185361e+00 -3.630257677366209e-06 
 4.058198942243808e+00  1.125685539184726e+00 -3.728384920517707e-06 
 4.136820402388517e+00  1.125685539184066e+00 -3.827884950022103e-06 
 4.216965034285833e+00  1.125685539183379e+00 -3.928794401657487e-06 
 4.298662347082288e+00  1.125685539182662e+00 -4.031150430149298e-06 
 4.381942421619448e+00  1.125685539181918e+00 -4.134990722850656e-06 
 4.466835921509642e+00  1.125685539181143e+00 -4.240353513618758e-06 
 4.553374104426261e+00  1.125685539180339e+00 -4.347277596892594e-06 
 4.641588833612791e+00  1.125685539179502e+00 -4.455802341976914e-06 
 4.731512589614817e+00  1.125685539178631e+00 -4.565967707538066e-06 
 4.823178482239319e+00  1.125685539177726e+00 -4.677814256316637e-06 
 4.916620262745656e+00  1.125685539176783e+00 -4.791383170062624e-06 
 5.011872336272736e+00  1.125685539175805e+00 -4.906716264698549e-06 
 5.108969774506941e+00  1.125685539174786e+00 -5.023856005715916e-06 
 5.207948328595478e+00  1.125685539173727e+00 -5.142845523811085e-06 
 5.308844442309899e+00  1.125685539172626e+00 -5.263728630765818e-06 
 5.411695265464652e+00  1.125685539171483e+00 -5.386549835578792e-06 
