 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 6.07202196e+00  2.60566749e+03 -1.97524791e+00  1.00000000e+00 -1.35705713e-21  2.60566749e+03 -1.97524791e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.18965819e+00  2.60566743e+03 -2.01362692e+00  1.00000000e+00 -1.33133998e-21  2.60566743e+03 -2.01362692e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  2.60566737e+03 -2.05274733e+00  1.00000000e+00 -1.30610747e-21  2.60566737e+03 -2.05274733e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.43181188e+00  2.60566731e+03 -2.09262356e+00  1.00000000e+00 -1.28135063e-21  2.60566731e+03 -2.09262356e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.55641849e+00  2.60566724e+03 -2.13327029e+00  1.00000000e+00 -1.25706062e-21  2.60566724e+03 -2.13327029e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.68343918e+00  2.60566717e+03 -2.17470247e+00  1.00000000e+00 -1.23322878e-21  2.60566717e+03 -2.17470247e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.81292069e+00  2.60566710e+03 -2.21693538e+00  1.00000000e+00 -1.20984660e-21  2.60566710e+03 -2.21693538e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.94491071e+00  2.60566703e+03 -2.25998456e+00  1.00000000e+00 -1.18690572e-21  2.60566703e+03 -2.25998456e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.07945784e+00  2.60566695e+03 -2.30386585e+00  1.00000000e+00 -1.16439792e-21  2.60566695e+03 -2.30386585e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.21661162e+00  2.60566687e+03 -2.34859542e+00  1.00000000e+00 -1.14231514e-21  2.60566687e+03 -2.34859542e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.35642254e+00  2.60566679e+03 -2.39418973e+00  1.00000000e+00 -1.12064945e-21  2.60566679e+03 -2.39418973e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.49894209e+00  2.60566670e+03 -2.44066557e+00  1.00000000e+00 -1.09939307e-21  2.60566670e+03 -2.44066557e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.64422274e+00  2.60566661e+03 -2.48804006e+00  1.00000000e+00 -1.07853836e-21  2.60566661e+03 -2.48804006e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.79231798e+00  2.60566652e+03 -2.53633064e+00  1.00000000e+00 -1.05807781e-21  2.60566652e+03 -2.53633064e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  2.60566642e+03 -2.58555508e+00  1.00000000e+00 -1.03800406e-21  2.60566642e+03 -2.58555508e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.09717142e+00  2.60566632e+03 -2.63573151e+00  1.00000000e+00 -1.01830988e-21  2.60566632e+03 -2.63573151e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.25404185e+00  2.60566622e+03 -2.68687840e+00  1.00000000e+00 -9.98988154e-22  2.60566622e+03 -2.68687840e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.41395142e+00  2.60566611e+03 -2.73901459e+00  1.00000000e+00 -9.80031909e-22  2.60566611e+03 -2.73901459e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.57695899e+00  2.60566600e+03 -2.79215928e+00  1.00000000e+00 -9.61434299e-22  2.60566600e+03 -2.79215928e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.74312458e+00  2.60566588e+03 -2.84633202e+00  1.00000000e+00 -9.43188599e-22  2.60566588e+03 -2.84633202e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.91250938e+00  2.60566576e+03 -2.90155277e+00  1.00000000e+00 -9.25288208e-22  2.60566576e+03 -2.90155277e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.08517576e+00  2.60566563e+03 -2.95784186e+00  1.00000000e+00 -9.07726645e-22  2.60566563e+03 -2.95784186e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.26118728e+00  2.60566550e+03 -3.01522001e+00  1.00000000e+00 -8.90497549e-22  2.60566550e+03 -3.01522001e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.44060876e+00  2.60566536e+03 -3.07370835e+00  1.00000000e+00 -8.73594673e-22  2.60566536e+03 -3.07370835e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.62350626e+00  2.60566522e+03 -3.13332841e+00  1.00000000e+00 -8.57011888e-22  2.60566522e+03 -3.13332841e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.80994713e+00  2.60566507e+03 -3.19410214e+00  1.00000000e+00 -8.40743174e-22  2.60566507e+03 -3.19410214e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  2.60566492e+03 -3.25605192e+00  1.00000000e+00 -8.24782625e-22  2.60566492e+03 -3.25605192e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+01  2.60566476e+03 -3.31920057e+00  1.00000000e+00 -8.09124442e-22  2.60566476e+03 -3.31920057e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
