 frequency       gain_db         phase_deg      
 3.54813389e+04  4.14724088e+01  1.79744981e+02 
 3.63078055e+04  4.14724052e+01  1.79739041e+02 
 3.71535229e+04  4.14724015e+01  1.79732962e+02 
 3.80189396e+04  4.14723976e+01  1.79726742e+02 
 3.89045145e+04  4.14723935e+01  1.79720377e+02 
 3.98107171e+04  4.14723892e+01  1.79713864e+02 
 4.07380278e+04  4.14723846e+01  1.79707199e+02 
 4.16869383e+04  4.14723799e+01  1.79700379e+02 
 4.26579519e+04  4.14723750e+01  1.79693400e+02 
 4.36515832e+04  4.14723698e+01  1.79686259e+02 
 4.46683592e+04  4.14723644e+01  1.79678951e+02 
 4.57088190e+04  4.14723587e+01  1.79671473e+02 
 4.67735141e+04  4.14723528e+01  1.79663820e+02 
 4.78630092e+04  4.14723466e+01  1.79655990e+02 
 4.89778819e+04  4.14723400e+01  1.79647977e+02 
 5.01187234e+04  4.14723332e+01  1.79639778e+02 
 5.12861384e+04  4.14723261e+01  1.79631387e+02 
 5.24807460e+04  4.14723186e+01  1.79622801e+02 
 5.37031796e+04  4.14723108e+01  1.79614015e+02 
 5.49540874e+04  4.14723026e+01  1.79605025e+02 
 5.62341325e+04  4.14722940e+01  1.79595825e+02 
 5.75439937e+04  4.14722850e+01  1.79586411e+02 
 5.88843655e+04  4.14722756e+01  1.79576777e+02 
