scale,command_V,drive_V,vout_V,vinn_V,vx_V,m6_id_A,m6_vdsat_V,m7_id_A,m7_vdsat_V,direction,mapping_error_V,tracking_error_mV,m6_saturation_margin_V,m7_saturation_margin_V,not_clipped,valid,point_status,reverse_vout_V,forward_reverse_delta_uV,reverse_valid,counterpart_point_status,manifest_sha256
1.2,0.6,1.2,0.600258519,0.90012926,0.800552397,8.73174549e-05,0.163522317,9.32900522e-05,0.164534182,COMMAND_ASCENDING,-1.110223025e-16,0.258519,0.436736202,1.035207299,True,True,VALID,0.600258519,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.19,0.61,1.19,0.610249223,0.900124612,0.800248815,8.71856015e-05,0.16333978,9.32591054e-05,0.164531085,COMMAND_ASCENDING,-1.110223025e-16,0.249223,0.446909443,1.025219692,True,True,VALID,0.610249223,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.18,0.62,1.18,0.62023969,0.900119845,0.799947494,8.70535675e-05,0.16315864,9.32279763e-05,0.164527989,COMMAND_ASCENDING,-1.110223025e-16,0.23969,0.45708105,1.015232321,True,True,VALID,0.62023969,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.17,0.63,1.17,0.630230468,0.900115234,0.799648298,8.69213438e-05,0.162978812,9.31966601e-05,0.164524892,COMMAND_ASCENDING,-1.110223025e-16,0.230468,0.467251656,1.00524464,True,True,VALID,0.630230468,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.16,0.64,1.16,0.640221727,0.900110863,0.799351107,8.67889253e-05,0.162800223,9.31651531e-05,0.164521795,COMMAND_ASCENDING,-1.110223025e-16,0.221727,0.477421504,0.995256478,True,True,VALID,0.640221727,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.15,0.65,1.15,0.65021268,0.90010634,0.799055835,8.66563175e-05,0.162622816,9.31334543e-05,0.164518698,COMMAND_ASCENDING,-1.110223025e-16,0.21268,0.487589864,0.985268622,True,True,VALID,0.65021268,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.14,0.66,1.14,0.660203688,0.900101844,0.79876237,8.65235129e-05,0.162446525,9.31015595e-05,0.164515601,COMMAND_ASCENDING,-1.110223025e-16,0.203688,0.497757163,0.975280711,True,True,VALID,0.660203688,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.13,0.67,1.13,0.670194747,0.900097374,0.798470618,8.63905084e-05,0.162271288,9.30694651e-05,0.164512504,COMMAND_ASCENDING,-1.110223025e-16,0.194747,0.507923459,0.965292749,True,True,VALID,0.670194747,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.12,0.68,1.12,0.680185855,0.900092928,0.798180489,8.62573002e-05,0.162097051,9.30371676e-05,0.164509407,COMMAND_ASCENDING,1.110223025e-16,0.185855,0.518088804,0.955304738,True,True,VALID,0.680185855,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.11,0.69,1.11,0.690177009,0.900088505,0.797891899,8.61238849e-05,0.16192376,9.30046634e-05,0.16450631,COMMAND_ASCENDING,0,0.177009,0.528253249,0.945316681,True,True,VALID,0.690177009,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.1,0.7,1.1,0.700168207,0.900084103,0.797604768,8.59902587e-05,0.161751366,9.29719488e-05,0.164503213,COMMAND_ASCENDING,0,0.168207,0.538416841,0.93532858,True,True,VALID,0.700168207,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.09,0.71,1.09,0.710159446,0.900079723,0.797319019,8.58564178e-05,0.16157982,9.29390199e-05,0.164500116,COMMAND_ASCENDING,0,0.159446,0.548579626,0.925340438,True,True,VALID,0.710159446,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.08,0.72,1.08,0.720150724,0.900075362,0.797034581,8.57223583e-05,0.161409079,9.29058728e-05,0.164497019,COMMAND_ASCENDING,0,0.150724,0.558741645,0.915352257,True,True,VALID,0.720150724,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.07,0.73,1.07,0.730142039,0.900071019,0.796751385,8.55880763e-05,0.161239099,9.28725034e-05,0.164493922,COMMAND_ASCENDING,0,0.142039,0.56890294,0.905364039,True,True,VALID,0.730142039,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.06,0.74,1.06,0.740133389,0.900066694,0.796469366,8.54535674e-05,0.161069839,9.28389076e-05,0.164490825,COMMAND_ASCENDING,0,0.133389,0.57906355,0.895375786,True,True,VALID,0.740133389,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.05,0.75,1.05,0.750124772,0.900062386,0.796188462,8.53188275e-05,0.160901261,9.28050812e-05,0.164487728,COMMAND_ASCENDING,0,0.124772,0.589223511,0.8853875,True,True,VALID,0.750124772,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
